ATCTUN;ATCKOODI;SELITES;SELITER;DDD;DDDYKSIKKO
475;A10BD02;metformiini ja sulfonyyliureat;metformin och sulfonylureider;2;ED
476;A10BF;Alfaglukosidaasin estäjät;Alfaglukosidashämmare;;
477;A10BF01;akarboosi;akarbos;0.3;g
478;A10BF02;miglitoli;miglitol;0.3;g
479;A10BG;Tiatsolidiinidionit;Tiazolidindioner;;
480;A10BG01;troglitatsoni;troglitazon;0.4;g
481;A10BX;Muut veren glukoosipitoisuutta pienentävät lääkkeet, lukuun ottamatta insuliineja;Övriga blodsockersänkande medel, exkl. insuliner;;
482;A10BX01;guarkumi;guar gum;;
483;A10X;MUUT DIABETESLÄÄKKEET;ÖVRIGA DIABETESMEDEL;;
484;A10XA;Aldoosireduktaasin estäjät;Aldosreduktashämmare;;
442;A10AD01;ihmisinsuliini;humaninsulin;40;U
486;A11;VITAMIINIT;VITAMINER;;
487;A11AA;Vitamiinien ja kivennäisaineiden yhdistelmävalmisteet;Multivitaminer och mineralämnen;;
488;A11AA01;vitamiinien ja raudan yhdistelmävalmisteet;multivitaminer och järn;;
489;A11AA02;vitamiinien ja kalsiumin yhdistelmävalmisteet;multivitaminer och kalcium;;
490;A11AA03;vitamiinien ja muiden kivennäisaineiden yhdistelmävalmisteet;multivitaminer och andra mineralämnen;;
491;A11AA04;vitamiinien ja hivenaineiden yhdistelmävalmisteet;multivitaminer och spårelement;1;ED
492;A11AB;Monivitamiinit, muut yhdistelmävalmisteet;Multivitaminer, övriga kombinationer;;
493;A11B;PELKÄT MONIVITAMIINIVALMISTEET;MULTIVITAMINER, UTAN ANNAN TILLSATS;;
494;A11C;A- JA D-VITAMIINI, A- JA D-VITAMIININ YHDISTELMÄVALMISTEET;VITAMIN A OCH D, INKL. KOMBINATIONER AV A OCH D;;
495;A11CA;A-vitamiini;Vitamin A;;
496;A11CA01;retinoli (A-vitamiini);retinol (vitamin A);50;TU
497;A11CB;A- ja D-vitamiinin yhdistelmävalmisteet;Kombinationer av vitamin A och D;0.03;ED
498;A11CB;A- ja D-vitamiinin yhdistelmävalmisteet;Kombinationer av vitamin A och D;1;ED
499;A11CC;D-vitamiini ja sen kaltaiset yhdisteet;Vitamin D och analoger;;
457;A10BB01;glibenklamidi;glibenklamid;10;mg
501;A11CC02;dihydrotakysteroli;dihydrotakysterol;1;mg
502;A11CC03;alfakalsidoli;alfakalcidol;1;mcg
503;A11CC04;kalsitrioli;kalcitriol;1;mcg
504;A11CC05;kolekalsiferoli (vitamiini D3);kolekalciferol (vitamin D3);20;mcg
505;A11CC06;kalsifedioli;kalcifediol;;
506;A11CC20;yhdistelmävalmisteet;kombinationer;;
507;A11D;B1-VITAMIINI, B1-VITAMIININ JA B6- JA B12-VITAMIINIEN YHDISTELMÄVALMISTEET;VITAMIN B1, INKL. KOMBINATIONER MED B6 OCH B12;;
508;A11DA;Tiamiini (B1-vitamiini);Tiamin (vitamin B1);;
509;A11DA01;tiamiini (B1-vitamiini) ;tiamin (vitamin B1);50;mg
510;A11DA02;sulbutiamiini;sulbutiamin;;
511;A11DB;B1-vitamiinin ja B6- ja/tai B12-vitamiinin yhdistelmävalmisteet;Vitamin B1 kombinationer med vitamin B6 och/eller vitamin B12;1;ED
512;A11E;B-VITAMIINIYHDISTELMÄVALMISTEET;VITAMIN B-KOMPLEX, INKL. KOMBINATIONER;;
513;A11EA;B-vitamiinien yhdistelmävalmisteet;Vitamin B-komplex;1;ED
472;A10BC01;glymidiini;glymidin;1;g
515;A11EC;B-vitamiinien ja kivennäisaineiden yhdistelmävalmisteet;Vitamin B-komplex och mineralämnen;;
516;A11ED;B-vitamiinien ja anabolisten steroidien yhdistelmävalmisteet;Vitamin B-komplex och anabola steroider;6;ED
517;A11EX;B-vitamiinien muut yhdistelmävalmisteet;Övriga kombinationer av vitamin B;6;ED
518;A11EX;B-vitamiinien muut yhdistelmävalmisteet;Övriga kombinationer av vitamin B;1;ED
519;A11G;ASKORBIINIHAPPO (C-VITAMIINI), SIS. YHDISTELMÄVALMISTEET;ASKORBINSYRA (VITAMIN C), INKL. KOMBINATIONER;;
520;A11GA;Askorbiinihappo (C-vitamiini);Askorbinsyra (vitamin C);;
521;A11GA01;askorbiinihappo (C-vitamiini);askorbinsyra (vitamin C);0.2;g
522;A11GB;Askorbiinihappoa (C-vitamiini) sisältävät yhdistelmävalmisteet;Askorbinsyra (vitamin C), kombinationer;;
523;A11GB01;askorbiinihapon (C-vitamiini) ja kalsiumin yhdistelmävalmisteet;askorbinsyra (vitamin C) och kalcium;1;ED
524;A11H;MUUT VITAMIINIVALMISTEET;ÖVRIGA VITAMINER;;
525;A11HA;Muut vitamiinivalmisteet;Övriga vitaminer;;
526;A11HA01;nikotiiniamidi;nikotinamid;0.15;g
527;A11HA02;pyridoksiini (B6-vitamiini);pyridoxin (vitamin B6);0.16;g
485;A10XA01;tolrestaatti;tolrestat;;
500;A11CC01;ergokalsiferoli (vitamiini D2);ergokalciferol (vitamin D2);;
529;A11HA04;riboflaviini (B2-vitamiini);riboflavin (vitamin B2);;
530;A11HA05;biotiini;biotin;;
531;A11HA06;pyridoksaalifosfaatti;pyridoxalfosfat;;
532;A11HA30;dekspantenoli;dexpantenol;;
533;A11HA31;kalsiumpantotenaatti;kalciumpantotenat;;
534;A11HA32;pantetiini;pantetin;;
535;A11J;MUUT VITAMIINEJA SISÄLTÄVÄT YHDISTELMÄVALMISTEET;ÖVRIGA KOMBINATIONER MED VITAMINER;;
536;A11JA;Vitamiinien yhdistelmävalmisteet;Vitaminer, kombiantioner;1;ED
537;A11JB;Vitamiinien ja kivennäisaineiden yhdistelmävalmisteet;Vitaminer och mineralämnen;1;ED
538;A11JC;Muut yhdistelmävalmisteet;Övriga kombinationer;1;ED
539;A12;KIVENNÄISAINEET;MINERALÄMNEN;;
540;A12A;KALSIUM;KALCIUM;;
541;A12AA;Kalsium;Kalcium;;
542;A12AA01;kalsiumfosfaatti;kalciumfosfat;2;g
543;A12AA02;kalsiumglubionaatti;kalciumglubionat;2.75;g
544;A12AA03;kalsiumglukonaatti;kalciumglukonat;3;g
545;A12AA04;kalsiumkarbonaatti;kalciumkarbonat;3;g
514;A11EB;B-vitamiinien ja C-vitamiinin yhdistelmävalmisteet;Vitamin B-komplex och vitamin C;;
547;A12AA06;kalsiumlaktaattiglukonaatti;kalciumlaktoglukonat;3;g
548;A12AA07;kalsiumkloridi;kalciumklorid;0.2;g
549;A12AA08;kalsiumglyseryylifosfaatti;kalciumglycerolfosfat;;
550;A12AA09;kalsiumsitraatin ja lysiinin kompleksi;kalciumcitratlysinkomplex;0.5;g
551;A12AA10;kalsiumglukoheptonaatti;kalciumglukoheptonat;3;g
552;A12AA11;kalsiumpangamaatti;kalciumpangamat;;
553;V03AE07;kalsiumasetaatti;kalciumacetat;6;g
554;A12AA20;kalsium (eri suolojen yhdistelmävalmisteet);kalcium (olika salter i kombination);0.5;g
555;A12AA30;kalsiumlevulaatti;kalciumlevulat;1;g
556;A12AX;Kalsiumin yhdistelmävalmisteet D-vitamiinin ja/tai muiden lääkeaineiden kanssa;Kalcium, kombinationer med vitamin D och/eller övriga läkemedel;2;ED
557;A12B;KALIUM;KALIUM;;
558;A12BA;Kalium;Kalium;;
559;A12BA01;kaliumkloridi;kaliumklorid;3;g
560;A12BA02;kaliumsitraatti;kaliumcitrat;4;g
561;A12BA03;kaliumbitartraatti;kaliumbitartrat;7.5;g
562;A12BA04;kaliumbikarbonaatti;kaliumbikarbonat;4;g
563;A12BA05;kaliumglukonaatti;kaliumglukonat;;
564;A12BA30;kalium (eri suolojen yhdistelmävalmisteet);kalium (olika salter i kombination);;
565;A12BA51;kaliumkloridi, yhdistelmävalmisteet;kaliumklorid, kombinationer;6;ED
528;A11HA03;tokoferoli (E-vitamiini);tokoferol (vitamin E);0.2;g
567;A12CA;Natrium;Natrium;;
568;A12CA01;natriumkloridi;natriumklorid;1;g
569;A12CA02;natriumsulfaatti;natriumsulfat;;
570;A12CB;Sinkki;Zink;;
571;A12CB01;sinkkisulfaatti;zinksulfat;0.6;g
572;A12CB02;sinkkiglukonaatti;zinkglukonat;;
573;A12CB03;sinkki-proteiinikompleksi;zink-proteinkomplex;;
574;A12CC;Magnesium;Magnesium;;
575;A12CC01;magnesiumkloridi;magnesiumklorid;2.5;g
576;A12CC01;magnesiumkloridi;magnesiumklorid;0.8;g
577;A12CC02;magnesiumsulfaatti;magnesiumsulfat;3;g
578;A12CC02;magnesiumsulfaatti;magnesiumsulfat;1;g
579;A12CC03;magnesiumglukonaatti;magnesiumglukonat;5;g
580;A12CC04;magnesiumsitraatti;magnesiumcitrat;2;g
581;A12CC05;magnesiumaspartaatti;magnesiumaspartat;;
582;A12CC06;magnesiumlaktaatti;magnesiumlaktat;;
583;A12CC07;magnesiumlevulinaatti;magnesiumlevulinat;;
584;A12CC08;magnesiumpidolaatti;magnesiumpidolat;;
585;A12CC09;magnesiumorotaatti;magnesiumorotat;;
546;A12AA05;kalsiumlaktaatti;kalciumlaktat;2;g
587;A12CD;Fluoridi;Fluorid;;
588;A12CD01;natriumfluoridi;natriumfluorid;88;mg
589;A12CD02;natriummonofluorifosfaatti;natriummonofluorofosfat;0.152;g
590;A12CE;Seleeni;Selen;;
591;A12CE01;natriumselenaatti;natriumselenat;0.2;mg
592;A12CX;Muut kivennäisaineet;Övriga mineralämnen;;
593;A13;TOONIKUMIT;TONIKA;;
594;A13A;TOONIKUMIT;TONIKA;;
595;A14;SYSTEEMISESTI KÄYTETTÄVÄT ANABOLISET LÄÄKEAINEET;ANABOLA STEROIDER;;
596;A14A;ANABOLISET STEROIDIT;ANABOLA STEROIDER;;
597;A14AA;Androstaanijohdokset;Androstanderivat;;
598;A14AA01;androstanoloni;androstanolon;;
599;A14AA02;stanotsololi;stanozolol;5;mg
600;A14AA02;stanotsololi;stanozolol;3.5;mg
601;A14AA03;metandienoni;metandienon;5;mg
602;A14AA04;metenoloni;metenolon;10;mg
603;A14AA04;metenoloni;metenolon;7;mg
604;A14AA05;oksimetoloni;oximetolon;0.25;g
566;A12C;MUUT KIVENNÄISAINEET;ÖVRIGA MINERALÄMNEN;;
606;A14AA07;prasteroni;prasteron;;
607;A14AA08;oksandroloni;oxandrolon;;
608;A14AA09;noretandroloni;noretandrolon;;
609;A14AB;Estreenijohdokset;Estrenderivat;;
610;A14AB01;nandroloni;nandrolon;2;mg
611;A14AB02;etyyliestrenoli;etylestrenol;2;mg
612;A14AB03;oksabolonisipionaatti;oxaboloncibionat;;
613;A14B;MUUT ANABOLISET LÄÄKEAINEET;ÖVRIGA ANABOLA MEDEL;;
614;A15;RUOKAHALUA LISÄÄVÄT LÄÄKEAINEET;APTITSTIMULERANDE MEDEL;;
615;A16;MUUT RUUANSULATUSELIMISTÖN SAIRAUKSIEN JA AINEENVAIHDUNTASAIRAUKSIEN LÄÄKKEET;ÖVRIGA MEDEL VID SJUKDOMAR FÖR MATSMÄLTNINGSORGAN OCH ÄMNESOMSÄTTNING;;
616;A16A;MUUT RUUANSULATUSELIMISTÖN SAIRAUKSIEN JA AINEENVAIHDUNTASAIRAUKSIEN LÄÄKKEET;ÖVRIGA MEDEL VID SJUKDOMAR FÖR MATSMÄLTNINGSORGAN OCH ÄMNESOMSÄTTNING;;
617;A16AA;Aminohapot ja niiden johdokset;Aminosyror och derivat;;
618;A16AA01;levokarnitiini;levokarnitin;2;g
619;A16AA02;ademetioniini;ademetionin;;
586;A12CC30;magnesium (eri suolojen yhdistelmävalmisteet);magnesium (olika salter i kombination);;
621;A16AA04;merkaptamiini;merkaptamin;2;g
622;A16AB;Entsyymit;Enzymer;;
623;A16AB01;alglukeraasi;alglukeras;;
624;A16AB02;imigluseraasi;imigluceras;300;U
625;A16AX;Muut ruuansuluatuselimistön sairauksien ja aineenvaihduntasairauksien lääkkeet;Övriga medel vid sjukdomar för matsmältningsorgan och ämnesomsättning;;
626;A16AX01;tioktiinihappo;tioktinsyra;0.6;g
627;A16AX02;anetolitritioni;anetoltrition;;
628;B;VERITAUTIEN LÄÄKKEET;BLOD OCH BLODBILDANDE ORGAN;;
629;B01;ANTITROMBOOTTISET LÄÄKEAINEET;ANTIKOAGULANTIA;;
630;B01A;ANTITROMBOOTTISET LÄÄKEAINEET;ANTIKOAGULANTIA;;
631;B01AA;K-vitamiiniantagonistit;Vitamin K-antagonister;;
632;B01AA01;dikumaroli;dikumarol;0.1;g
633;B01AA02;fenindioni;fenindion;0.1;g
605;A14AA06;kinboloni;kinbolon;;
635;B01AA04;fenprokumoni;fenprokumon;3;mg
636;B01AA07;asenokumaroli;acenokumarol;5;mg
637;B01AA08;etyylibiskumasetaatti;etylbiskumacetat;0.6;g
638;B01AA09;klorindioni;klorindion;;
639;B01AA10;difenadioni;difenadion;;
640;B01AA11;tioklomaroli;tioklomarol;;
641;B01AB;Hepariiniryhmä;Heparingruppen;;
642;B01AB01;hepariini;heparin;10;TU
643;B01AB02;antitrombiini;antitrombin;2.1;TU
644;B01AB04;daltepariini;dalteparin;2.5;TU
645;B01AB05;enoksapariini;enoxaparin;2;TU
646;B01AB06;nadropariini;nadroparin;2.85;TU
647;B01AB07;parnapariini;parnaparin;3.2;TU
648;B01AB08;revipariini;reviparin;1.43;TU
649;B01AB09;danaparoidi;danaparoid;1.5;TU
650;B01AB10;tintsapariini;tinzaparin;3.5;TU
651;B01AB11;sulodeksidi;sulodexid;500;LSU
652;B01AB51;hepariini, yhdistelmävalmisteet;heparin, kombinationer;;
653;B01AC;Aggregaation estäjät lukuun ottamatta hepariinia;Aggregationhämmare, exkl heparin;;
620;A16AA03;levoglutamidi;levoglutamid;;
655;B01AC02;klorikromeeni;klorikromen;;
656;B01AC03;pikotamidi;picotamid;;
657;B01AC04;klopidogreeli;klopidogrel;75;mg
658;B01AC05;tiklopidiini;tiklopidin;0.5;g
659;B01AC06;asetyylisalisyylihappo;acetylsalicylsyra;1;ED
660;B01AC07;dipyridamoli;dipyridamol;0.4;g
661;B01AC07;dipyridamoli;dipyridamol;0.2;g
662;B01AC08;karbasalaattikalsium;karbasalatkalcium;1;ED
663;B01AC09;epoprostenoli;epoprostenol;;
664;B01AC10;indobufeeni;indobufen;;
665;B01AC11;iloprosti;iloprost;50;mcg
666;B01AC13;absiksimabi;abciximab;25;mg
667;L01XX35;anagrelidi;anagrelid;;
668;B01AC15;aloksipriini;aloxiprin;;
669;B01AC16;eptifibatidi;eptifibatid;0.2;g
670;B01AC30;yhdistelmävalmisteet;kombinationer;;
634;B01AA03;varfariini;warfarin;7.5;mg
672;B01AD01;streptokinaasi;streptokinas;1.5;MU
673;B01AD02;alteplaasi;alteplas;0.1;g
674;B01AD03;anistreplaasi;anistreplas;30;U
675;B01AD04;urokinaasi;urokinas;3;MU
676;B01AD05;fibrinolysiini;fibrinolysin;;
677;B01AD06;brinaasi;brinas;;
678;B01AD07;reteplaasi;reteplas;20;U
679;B01AX;Muut antitromboottiset lääkeaineet;Övriga antikoagulantia;;
680;B01AX01;defibrotidi;defibrotid;1.75;g
681;B01AE01;desirudiini;desirudin;30;mg
682;B01AE02;lepirudiini;lepirudin;0.25;g
683;B02;HEMOSTAATIT;HEMOSTATIKA;;
684;B02A;ANTIFIBRINOLYYTIT;FIBRINOLYSHÄMMANDE MEDEL;;
685;B02AA;Aminohapot;Aminosyror;;
686;B02AA01;aminokapronihappo;aminokapronsyra;16;g
687;B02AA02;traneksaamihappo;tranexamsyra;2;g
688;B02AA03;aminometyylibentsoehappo;aminometylbensoesyra;0.25;g
689;B02AB;Proteinaasin estäjät;Proteinashämmande medel;;
690;B02AB01;aprotiniini;aprotinin;500;TU
691;B02AB02;alfa-1-antitrypsiini;alfa-1-antitrypsin;0.6;g
692;B06AC01;proteiini-C1-estäjät;protein-C1 hämmare;1.4;TU
654;B01AC01;ditatsoli;ditazol;;
694;B02B;K-VITAMIINI JA MUUT HEMOSTAATIT;VITAMIN K OCH ANDRA KOAGULATIONSFAKTORER;;
695;B02BA;K-vitamiini;Vitamin K;;
696;B02BA01;fytomenadioni;fytomenadion;20;mg
697;B02BA02;menadioni;menadion;10;mg
698;B02BA02;menadioni;menadion;2;mg
699;B02BB;Fibrinogeeni;Fibrinogen;;
700;B02BB01;fibrinogeeni, ihmisen;fibrinogen, humant;5;g
701;B02BC;Paikallisesti käytettävät hemostaatit;Lokala hemostatika;;
702;B02BC01;absorboiva gelatiinisieni (liivate);absorberande gelatin;;
703;B02BC02;hapetettu selluloosa;cellulosa, oxiderat;;
704;B02BC03;tetragalakturonihapon hydroksimetyyliesteri;hydroximetylester av tetragalakturonsyra;;
705;B02BC05;adrenaloni;adrenalon;;
706;B02BC06;trombiini;trombin;;
707;B02BC07;kollageeni;kollagen;;
708;B02BC08;kalsiumalginaatti;kalciumalginat;;
709;B02BC09;adrenaliini;adrenalin;;
710;B02BD;Veren hyytymistekijät;Antihemofilifaktorer;;
711;B02BD01;hyytymistekijät IX, II, VII ja X yhdistelmävalmisteina;koagulationsfaktorer IX, II, VII och X, kombinationer;;
671;B01AD;Entsyymit;Entzympreparat;;
713;B02BD03;hyytymistekijä VIII:n vasta-aineen ohittava aine;aktiverat protrombinkomplex mot faktor VIII-antikroppar;;
714;B02BD04;hyytymistekijä IX;koagulationsfaktor IX;;
715;B02BD05;hyytymistekijä VII;koagulationsfaktor VII;;
