vnr	ATC	valmiste	vahvuus	vahvuus_num	pkoko	pkoko_num
950	J01DB05	CEFADROXIL GENERICS	1 G	1	10	10
961	H01AC01	GENOTROPIN	5 MG	5	5 X 5 MG	5
976	M03BX02	SIRDALUD	2 MG	2	30	30
983	N05AX08	RISPERDAL	1 mg/ml	1	100 ml	100
986	L03AB05	INTRONA	3 MILJ IU	3	1+SOL	1
1004	B01AB04	FRAGMIN	12500 IU/ML	2500	(2500 IU) 25 X 0	25
1005	N03AX12	NEURONTIN	400 MG	400	100 FOL	100
1007	A12AX	KALCIPOS-D	500 MG/400 IU		90	90
1008	M03BX02	SIRDALUD	2 MG	2	100	100
1024	M03BX02	SIRDALUD	4 MG	4	30	30
1029	B01AB04	FRAGMIN	25000 IU/ML	5000	(5000 IU) 25 X 0	25
1078	G03GA06	PUREGON	"300 IU/0,36 ML"	300	"0,36 ML"	0.36
1092	G03GA06	PUREGON	"600 IU/0,72 ML"	600	"0,72 ML"	1
1099	C01CA07	DOBUJECT	50 mg/ml	50	5 x 5 ml	5
1101	M01AE01	IBUSAL	600 MG	600	100	100
1102	S01GX01	LOMUDAL	40 MG/ML	40	"60 X 0,35 ML"	60
1115	M03BX02	SIRDALUD	4 MG	4	100	100
1120	M01AH01	CELEBRA	100 MG	100	30 FOL	30
1121	N06AX03	TOLVON	30MG	30	105 FOL	105
1124	M01AE01	IBUSAL	600 MG	600	30	30
1131	J01FA09	KLACID	500MG	500	42 FOL	42
1135	M01AE01	IBUSAL	800 MG	800	100	100
1146	M01AE01	IBUSAL	800 MG	800	30	30
1154	J01CR02	BIOCLAVID	875MG	875	12 FOL	12
1164	M03BX02	SIRDALUD	6 MG	6	30	30
1165	J01CR02	BIOCLAVID	875 MG/125 MG		14 FOL	14
1167	H01CC01	ORGALUTRAN	"0,25 MG/0,5 ML"	0.25	"0,5 ML"	0.5
1176	J01CR02	BIOCLAVID	875 MG/125 MG		20 FOL	20
1191	N03AF02	APYDAN	300 MG	300	100 FOL	100
1194	M01AH01	CELEBRA	200 MG	200	10 FOL	10
1196	M01AH02	VIOXX	25MG	25	30	30
1205	M01AH01	CELEBRA	200 MG	200	30 FOL	30
1304	N03AF02	APYDAN	600 MG	600	100 FOL	100
1318	M01AH02	VIOXX	25MG	25	100	100
1322	L01DB06	ZAVEDOS	1 mg/ml	1	5 ml	5
1329	M01AH02	VIOXX	12.5MG	12.5	30	30
1337	V08CA09	GADOVIST	1 mmol/ml	1	10 x 30 ml	30
1339	D07AA02	UNIDERM	0.01	0.01	50G	50
1340	M01AH02	VIOXX	12.5MG	12.5	100	100
1347	D07AA02	UNIDERM	0.01	0.01	100G	100
1372	L01DB06	ZAVEDOS	1 mg/ml	1	10 ml	10
1397	C09AA02	ENALAPRIL GENERICS	10 MG	10	100 FOL	100
1399	H01CC01	ORGALUTRAN	"0,25 MG/0,5 ML"	0.25	"5 X 0,5 ML"	5
1403	L04AX01	IMUPRIN	25MG	25	100	100
1411	A02BC02	SOMAC	40 MG	40	14 FOL	14
1430	B01AB04	FRAGMIN	25000IU/ML	25000	5X0.2ML	1
1444	B01AB04	FRAGMIN	12500IU/ML	12500	5X0.2ML	1
1446	D07AA02	UNIDERM	0.01	0.01	50G	50
1474	D02AX	MINIDERM	0.2	0.02	500 G	500
1490	A10AD05	NOVOMIX 30	100 U/ML	100	5 X 3 ML	15
1495	D07AA02	UNIDERM	0.01	0.01	100G	100
1563	C09AA02	ENALAPRIL GENERICS	10 MG	10	28 FOL	28
1574	C09AA02	ENALAPRIL GENERICS	"2,5 MG"	2.5	50 FOL	50
1585	C09AA02	ENALAPRIL GENERICS	20 MG	20	100 FOL	100
1588	B05BA10	KABIVEN			4 x 1026 ml	1026
1592	N02CC05	ALMOGRAN	12.5MG	12.5	3 FOL	3
1596	C09AA02	ENALAPRIL GENERICS	20 MG	20	28 FOL	28
1605	B05BA10	KABIVEN			4 x 1540 ml	1540
1606	N02CC05	ALMOGRAN	12.5MG	12.5	6 FOL	6
1607	C09AA02	ENALAPRIL GENERICS	5 MG	5	100 FOL	100
1618	C09AA02	ENALAPRIL GENERICS	5 MG	5	28 FOL	28
1628	N02AE01	TEMGESIC	"0,4 MG"	0.4	50 FOL	50
1646	L04AX01	IMUPRIN	25MG	25	50	50
1648	J01DC04 	CEFAKLOR RANBAXY	500MG	500	20 FOL	20
1657	J01DC04 	CEFAKLOR RANBAXY	500MG	500	30 FOL	30
1659	A02BC05	NEXIUM	20 MG	20	98 FOL	98
1701	R03CC02	SALBUVENT	4 MG	4	30	30
1715	G03FB11	TOTELLE SEKVENS	2MG/0.5MG	2	3X28 FOL	84
1719	C07AB02	SELOKEN ZOC	190MG	190	98 FOL	98
1750	R03CC02	SALBUVENT	4MG	4	100	100
1787	N03AX12	NEURONTIN	300 MG	300	100 FOL	100
1829	V08CA02	DOTAREM	279.3 mg/ml	279.3	60 ml	60
1842	J01AA02	APODOXIN	100MG	100	8 FOL	8
1867	J01AA02	APODOXIN	100MG	100	10 FOL	10
1878	S01EC04	AZOPT	10MG/ML	10	3X5ML	3
1881	B05AA07	VOLUVEN	60 mg/ml	60	10 x 250 ml	250
1903	M01AE14	DEXIT	500MG	500	100	100
1916	B05BA10	NUTRIFLEX LIPID PERI			5 x 1250 ml	1250
1918	B05BA10	NUTRIFLEX LIPID PLUS			5 x 1250 ml	1250
1920	B05BA10	NUTRIFLEX LIPID SPECIAL			5 x 1250 ml	1250
1927	N01AX10	PROPOFOL-LIPURO	10 mg/ml	10	5 x 20 ml	20
1949	N06DA04	REMINYL	4MG	4	14 FOL	14
1974	J01CA08	SELEXID	200MG	200	100	100
1999	N06DA04	REMINYL	8MG	8	56 FOL	56
2005	M01AE14	DEXIT	500MG	500	30	30
2007	N06DA04	REMINYL	12MG	12	168 FOL	168
2010	N06DA04	REMINYL	12MG	12	56 FOL	56
2018	N06DA04	REMINYL	4 mg/ml	4	100 ml	100
2019	N05CD08	MIDAZOLAM HAMELN	5 mg/ml	5	5 x 10 ml	10
2022	C07AB02	SELOKEN ZOC	95MG	95	28 FOL	28
2039	C07AB07	ORLOC	10 MG	10	100 FOL	100
2048	C07AB02	SELOKEN ZOC	95MG	95	98 FOL	98
2056	A10AB01	VELOSULIN	100IU/ML	100	10ML	10
2073	B05BA10	NUTRIFLEX LIPID PERI			5 x 1875 ml	1875
2082	B05BA10	NUTRIFLEX LIPID PERI			5 x 2500 ml	2500
2087	C07AB07	ORLOC	5 MG	5	100 FOL	100
2095	B05BA10	NUTRIFLEX LIPID PLUS			5 x 1875 ml	1875
2104	C07AB07	ORLOC	5 MG	5	30 FOL	30
2105	N05AF05	CISORDINOL DEPOT	200MG/ML	200	10ML	10
2106	B05BA10	NUTRIFLEX LIPID PLUS			5 x 2500 ml	2500
2116	C07AB07	ORLOC	10 MG	10	30 FOL	30
2121	A06AC07	FIBERFORM			250G	250
2124	N05CD08	MIDAZOLAM HAMELN	5 mg/ml	5	5 x 3 ml	5
2140	S01XA20	VISCOTEARS			30X0.6ML	30
2169	B05BA10	KABIVEN PERIFER			2 x 2400 ml	2400
2177	S01XA20	VISCOTEARS	2 MG/G	2	"120 X 0,6 ML"	120
2193	G01AF01	ZIDOVAL	7.5 mg / g	7.5	40 g	40
2194	B05BA10	KABIVEN PERIFER			4 x 1440 ml	1440
2204	A06AC07	FIBERFORM			500G	500
2245	N05CD08	MIDAZOLAM HAMELN	1 mg/ml	1	10 x 5 ml	10
2261	J01AA02	APODOXIN	150MG	150	7 FOL	7
2263	D05AX02	DAIVONEX	50MIKROG/G	50	120 G	120
2265	D05AX02	DAIVONEX	50 MIKROG/G	50	120 G	120
2279	A06AC07	FIBERFORM			30X3.5G	30
2294	R03DC03	SINGULAIR	4 MG	4	28 FOL	28
2295	J01AA02	APODOXIN	150MG	150	10 FOL	10
2296	R03AC02	VENTOLINE EVOHALER	"0,1 MG/ANNOS"	0.1	200 +BABYH	200
2328	R03DC03	SINGULAIR	4 MG	4	98 FOL	98
2334	H01BB02	SYNTOCINON	8.3 mikrog/ml	8.3	10 x 1 ml	10
2336	N02AX02	TRAMAGETIC OD	150 MG	150	100 FOL	100
2345	D05AA	ALPHOSYL			250ML	250
2353	N02AX02	TRAMAGETIC OD	150 MG	150	20 FOL	20
2361	N02AX02	TRAMAGETIC OD	200 MG	200	100 FOL	100
2372	N02AX02	TRAMAGETIC OD	200 MG	200	20 FOL	20
2391	G03AA12	YASMIN	0.03 mg / 3 mg		3 x 21	21
2397	N02AX02	TRAMAGETIC OD	300 MG	300	20 FOL	20
2404	H01BA02	MINIRIN	0.1MG	0.1	30	30
2410	N04BA02	KARDOPAL	250MG/25MG	250	100	100
2419	N04BA02	SINEMET	25/100 MG	100	100 FOL	100
2422	J01AA04	TETRALYSAL	300 MG	300	20	20
2443	J01AA04	TETRALYSAL	300 MG	300	56	56
2477	B03XA01	NEORECORMON	2000IU	2000	10+SOL	10
2491	B05D	GAMBROSOL TRIO 10			4 X 2000 ML	4
2501	J01AA02	APODOXIN	150MG	150	98	98
2527	A06AC07	FIBERFORM			100X3.5G	100
2531	G04BD07	DETRUSITOL SR	4 MG	4	30	30
2558	R03BA05	FLIXOTIDE	"0,5 MG/ANNOS"	0.5	10 X 2 ML	20
2575	R03BA05	FLIXOTIDE	2 MG/ANNOS	20	10 X 2 ML	10
2579	B05D	GAMBROSOL TRIO 40			2 X 5000 ML	2
2612	B05D	GAMBROSOL TRIO 40			4 X 2000 ML	4
2616	S01LA01	VISUDYNE	15 mg	15	15 mg	63
2623	B05D	GAMBROSOL TRIO 40			4 X 2500 ML	4
2626	R06AX13	CLARITYN-S	10MG	10	100 FOL	100
2647	H01BA02	MINIRIN	0.1MG	0.1	90	90
2658	H01BA02	MINIRIN	0.2MG	0.2	15	15
2669	H01BA02	MINIRIN	0.2MG	0.2	30	30
2680	H01BA02	MINIRIN	0.2MG	0.2	90	90
2694	C09AA01	CAPTOPRIL BIOCHEMIE	12.5MG	12.5	100FOL	100
2697	C07AA07	SOTALOL BIOCHEMIE	80MG	80	30FOL	30
2699	C09AA02	ENALAPRIL BIOCHEMIE	5 MG	5	30 FOL	30
2703	N06AB03	FLUOXETIN BIOCHEMIE	20MG	20	30 FOL	30
2706	N05BA12	ALPRAZOLAM BIOCHEMIE	0.5MG	0.5	100 FOL	100
2723	C07AA07	SOTALOL BIOCHEMIE	160MG	160	100FOL	100
2727	C09AA02	ENALAPRIL BIOCHEMIE	5 MG	5	100 X 1	100
2728	N05BA12	ALPRAZOLAM BIOCHEMIE	1MG	1	100 FOL	100
2733	N04BA02	SINEMET DEPOT		200	100 FOL	100
2738	C09AA02	ENALAPRIL BIOCHEMIE	10 MG	10	30 FOL	30
2749	C09AA02	ENALAPRIL BIOCHEMIE	10 MG	10	100 X 1	100
2760	C09AA02	ENALAPRIL BIOCHEMIE	20 MG	20	30 FOL	30
2771	C09AA02	ENALAPRIL BIOCHEMIE	20 MG	20	100 X 1	100
2772	C10AA06	LIPOBAY	400MIKROG	400	28 FOL	28
2789	N02CC05	ALMOGRAN	12.5MG	12.5	9 FOL	9
2813	J01DB05	CEFADROXIL SANDOZ	1G	1	7FOL	7
2819	N06AB03	FLUOXETIN BIOCHEMIE	20MG	20	100 FOL	100
2824	D07AA02	UNIDERM	10MG/ML	10	50ML	50
2826	C09AA02	ENALAPRIL MYLAN	10 MG	10	100 KPL	100
2831	B01AB10	INNOHEP	10000 ANTI-XA IU/ML	2500	(2500 IU) 10 X 0	10
2837	C09AA02	ENALAPRIL MYLAN	20 MG	20	100 KPL	100
2838	J01DB05	CEFADROXIL SANDOZ	1G	1	10FOL	10
2840	D07AA02	UNIDERM	10MG/ML	10	100ML	100
2853	M03AX01	BOTOX	100 ALLERGAN-YKSIKKÖÄ	100	1	1
2871	J01DB05	CEFADROXIL SANDOZ	500MG	500	20FOL	20
2875	G03GA02	MENOPUR	75 IU	75	5 X (I+II)	5
2882	J01DB05	CEFADROXIL SANDOZ	500MG	500	30FOL	30
2886	J01CR02	CLAVURION	40MG/ML	40	70ML (AQ 64G)	70
2892	G03GA02	MENOPUR	75 IU	75	10 X (I+II)	10
2909	J01CR02	CLAVURION	80 MG/ML	80	35 ML	35
2920	J01CR02	CLAVURION	80 MG/ML	80	70 ML	70
2931	A02BA02	ZANTAC	300 MG	300	30	30
2936	J01CR02	CLAVURION	875 MG	875	12 FOL	12
2954	A10AE04	LANTUS	100 U/ML	100	5 X 3 ML	15
2966	G03GA05	GONAL-F	1050IU/1.75ML (77MIKROG/1.75ML)		1+SOL	1
3009	C09DA01	COZAAR COMP FORTE	100 MG/25 MG	100	28 FOL	28
3023	C09DA01	COZAAR COMP FORTE	100 MG/25 MG	100	98 FOL	98
3064	N03AX14	KEPPRA	250 MG	250	50 FOL	50
3072	C01DA14	ORMOX OD	25 MG	25	100	100
3088	B01AC17	AGGRASTAT	50 mikrog/ml	50	3 x 250 ml	3
3092	N03AX14	KEPPRA	500 MG	500	50 FOL	50
3097	C01DA14	ORMOX OD	25 MG	25	30	30
3099	L01DB01	MYOCET	50 mg	50	2 x 50 mg	2
3106	C01DA14	ORMOX OD	50 MG	50	100	100
3110	A02BA02	ZANTAC	150MG	150	30 FOL	30
3112	N03AX14	KEPPRA	500 MG	500	100 FOL	100
3117	C01DA14	ORMOX OD	50 MG	50	30	30
3121	A10BA02	DIFORMIN RETARD	1 G	1	100 FOL	100
3147	N03AX14	KEPPRA	1000 MG	1000	50 FOL	50
3158	N03AX14	KEPPRA	1000 MG	1000	100 FOL	100
3164	L01CA04	NAVELBINE	20 MG	20	1 FOL	1
3175	L01CA04	NAVELBINE	30 MG	30	1 FOL	1
3181	N02AX02	TRAMAGETIC RETARD	100MG	100	100 FOL	100
3182	A10BA02	DIFORMIN RETARD	750 MG	750	100 FOL	100
3195	B03XA02	ARANESP	10 MIKROG	10	"4 X 0,4 ML"	4
3207	N02AX02	TRAMAGETIC RETARD	100MG	100	20 FOL	20
3208	B03XA02	ARANESP	15MIKROG	15	4X0.375ML	4
3224	N02AX02	TRAMAGETIC RETARD	150MG	150	20 FOL	20
3230	B03XA02	ARANESP	20 MIKROG	20	"4 X 0,5 ML"	4
3239	N02AX02	TRAMAGETIC RETARD	200MG	200	20 FOL	20
3250	R06AE07	CETIRIZIN HEXAL	10 MG	10	28 FOL	28
3252	B03XA02	ARANESP	30 MIKROG	30	"4 X 0,3 ML"	4
3261	R06AE07	CETIRIZIN HEXAL	10 MG	10	98 FOL	98
3264	C09AA02	ENAPRESS	5MG	5	100 FOL	100
3273	N02AX02	TRAMAGETIC RETARD	75MG	75	20 FOL	20
3274	B03XA02	ARANESP	40 MIKROG	40	"4 X 0,4 ML"	4
3275	C09AA02	ENAPRESS	10MG	10	100 FOL	100
3286	C09AA02	ENAPRESS	20MG	20	100 FOL	100
3296	B03XA02	ARANESP	50 MIKROG	50	"4 X 0,5 ML"	4
3300	J01MA06	NORFLOXACIN-RATIOPHARM	400 MG	400	14 FOL	14
3318	B03XA02	ARANESP	60 MIKROG	60	"4 X 0,3 ML"	4
3340	B03XA02	ARANESP	80 MIKROG	80	"4 X 0,4 ML"	4
3353	L04AA10	RAPAMUNE	1 MG	1	100 FOL	100
3362	B03XA02	ARANESP	100 MIKROG	100	"4 X 0,5 ML"	4
3378	J01MA06	NORFLOXACIN-RATIOPHARM	400 MG	400	6 FOL	6
3386	B03XA02	ARANESP	150 MIKROG	150	"4 X 0,3 ML"	4
3393	N06AB04	SEPRAM	30 MG	30	100	100
3395	B03XA02	ARANESP	300 MIKROG	300	"0,6 ML"	1
3402	N06AB04	SEPRAM	30 MG	30	28	28
3423	A10BG03	ACTOS	15 MG	15	28 FOL	28
3449	N02AA05	OXYNORM	10 MG/ML	10	120 ML	120
3455	A02BB01	CYTOTEC	"0,2 MG"	0.2	60 FOL	60
3459	G03CA03	ESTRADERM MATRIX	100MIKROG/24T	100	26	26
3467	N02CA52	ANERVAN			10	10
3469	A02BB01	CYTOTEC	"0,2 MG"	0.2	100	100
3485	N02AA05	OXYNORM	1 MG/ML	1	250 ML	250
3510	A10BX03	STARLIX	60 MG	60	84 FOL	84
3523	C09AA02	ENALAPRIL BIOCHEMIE	5MG	5	100 FOL	100
3525	C01CA24	ADRENALIN	1 mg/ml	1	5 x 5 ml	5
3534	C09AA02	ENALAPRIL BIOCHEMIE	10MG	10	100 FOL	100
3545	C09AA02	ENALAPRIL BIOCHEMIE	20MG	20	100 FOL	100
3571	A10BX03	STARLIX	120 MG	120	84 FOL	84
3596	C10AA01	LIPCUT	10 MG	10	30	30
3607	C10AA01	LIPCUT	10 MG	10	100	100
3618	C10AA01	LIPCUT	20 MG	20	30	30
3631	C10AA01	LIPCUT	20 MG	20	100	100
3645	C10AA01	LIPCUT	30 MG	30	30	30
3653	C10AA01	LIPCUT	30 MG	30	100	100
3664	C10AA01	LIPCUT	40 MG	40	30	30
3678	C10AA01	LIPCUT	40 MG	40	100	100
3687	V03AC02	FERRIPROX	500 MG	500	100	100
3723	B01AB10	LOGIPARIN	11700 IU Fxa/ML	11700	10 x 0.3 ml	3
3742	J01FA10	ZITHROMAX IV	500 mg	500	500 mg	1
3748	C10AA02	LOVASTATIN HEXAL	40MG	40	28 FOL	28
3754	R06AX22	KESTINE	10MG	10	10	10
3756	N02CA52	ANERVAN			50	50
3765	D06BB03	ACLOVIR	0.05	0.05	10G	10
3775	V03AF07	FASTURTEC	1.5 mg/ml	1.5	3 x (1.5 mg + 1 ml)	3
3787	A10BG03	ACTOS	15 mg	15	50	50
3791	C10AA02	LOVASTATIN GEA	40MG	40	98 FOL	98
3800	A10BG03	ACTOS	15 MG	15	98 FOL	98
3801	R06AX22	KESTINE	10MG	10	30 FOL	30
3809	A10BG03	ACTOS	30 MG	30	28 FOL	28
3812	R06AX22	KESTINE	10MG	10	100 FOL	100
3820	A10BG03	ACTOS	30 mg	30	50	50
3823	C09BA02	LINATIL COMP	"20/12,5 MG"		100	100
3826	M03BX02	SIRDALUD	4 MG	4	30	30
3831	A10BG03	ACTOS	30 mg	30	98	98
3861	J01GB01	TOBI	300 MG/5 ML	300	56 X 5 ML	56
3867	V08CA02	DOTAREM	279.3 mg/ml	279.3	100 ml	100
3869	R01BA52	CLARINASE			10 FOL	10
3870	R03AK06	SERETIDE EVOHALER	25/125 MIKROG/ANNOS		120	120
3872	N05AE04	ZELDOX	20 mg/ml	20	I + I	1
3898	B03XA01	EPREX	5000IU/0.5ML	5000	6X0.5ML	6
3903	H02AB04	MEDROL	4 MG	4	100 FOL	100
3910	B03XA01	EPREX	10000 IU/ML	10000	"6 X 0,6 ML"	3.6
3911	G03AA12	YASMIN	0.03 mg / 3 mg		21	21
3932	B03XA01	EPREX	8000IU/0.8ML	8000	6X0.8ML	6
3933	C07AB07	BISOPROLOL RATIOPHARM	10MG	10	100 FOL	100
3936	R01BA52	CLARINASE			30 FOL	30
3939	M01AB05	VOLTAREN	50 MG	50	20	20
3945	C07AB07	BISOPROLOL RATIOPHARM	5MG	5	100 FOL	100
3948	R03AK06	SERETIDE EVOHALER	25/250 MIKROG/ANNOS		120	120
3953	N06AB05	OPTIPAR	20 MG	20	20	20
3956	C07AB07	BISOPROLOL RATIOPHARM	5MG	5	30 FOL	30
3959	R03AK06	SERETIDE EVOHALER	25/50 MIKROG/ANNOS		120	120
3970	L04AD01	SANDIMMUN	100 MG/ML	100	50 ml	50
3974	J05AR10	KALETRA	80 mg/ml / 20 mg/ml		5 x 60 ml	5
3988	M01AB05	VOLTAREN	50 MG	50	100 FOL	100
3998	N06AB05	OPTIPAR	20 MG	20	60	60
4000	G03AA12	YASMIN	0.03 mg / 3 mg		6 x 21	6
4020	N06AB05	OPTIPAR	20 MG	20	100	100
4024	N06AB08	FLUVOSOL	50 MG	50	30 FOL	30
4036	G03CA03	ESTRADERM MATRIX	25MIKROG/24T	25	26	26
4042	N06AB05	OPTIPAR	40 MG	40	20	20
4046	N06AB08	FLUVOSOL	50 MG	50	90 FOL	90
4059	J05AB01	ACICLOVIR RANBAXY	400 MG	400	70 FOL	70
4064	N06AB05	OPTIPAR	40 MG	40	60	60
4068	N06AB08	FLUVOSOL	100 MG	100	30 FOL	30
4081	N06AB08	FLUVOSOL	100 MG	100	60 FOL	60
4088	N06AB05	OPTIPAR	40 MG	40	100	100
4092	N06AB08	FLUVOSOL	100 MG	100	90 FOL	90
4100	G04BD04	SPASMOXYL	5MG	5	100 FOL	100
4110	A02BA03	FAMOTIDIN HEXAL	20 MG	20	30 FOL	30
4121	A02BA03	FAMOTIDIN HEXAL	20 MG	20	100 FOL	100
4145	A02BA03	FAMOTIDIN HEXAL	40 MG	40	30 FOL	30
4166	G04BD04	SPASMOXYL	5MG	5	30 FOL	30
4192	R01BA52	DISOFROL			30	30
4218	R01BA52	DISOFROL			100	100
4243	N01AH01	FENTANYL HAMELN	50 mikrog/ml	50	5 x 2 ml	5
4245	L03AA02	NEUPOGEN NOVUM	0.6MG/ML	0.6	1X0.5ML	1
4258	G04BE01	MUSE	250 mikrog	250	1	1
4298	R06AX27	AERIUS	5MG	5	10 FOL	10
4333	G03CA03	ESTRADERM MATRIX	50MIKROG/24T	50	26	26
4334	N01AH01	FENTANYL HAMELN	50 mikrog/ml	50	5 x 10 ml	5
4345	L03AA02	NEUPOGEN NOVUM	"0,6 MG/ML"	0.6	"5 X 0,5 ML"	5
4356	L03AA02	NEUPOGEN NOVUM	0.96MG/ML	0.96	1X0.5ML	1
4360	G04BE01	MUSE	500 mikrog	500	1	1
4364	B03XA01	EPREX	"2000IU/0,5ML"	2000	"6 X 0,5 ML"	6
4367	L03AA02	NEUPOGEN NOVUM	"0,96 MG/ML"	0.96	"5 X 0,5 ML"	5
4369	G04BE01	MUSE	500 mikrog	500	6	6
4370	R06AX27	AERIUS	5 MG	5	30 FOL	30
4372	B03XA01	EPREX	10000 IU/ML	10000	"6 X 0,4 ML"	2.4
4375	B03XA01	EPREX	3000IU/0.3ML	3000	6X0.3ML	6
4378	R06AX27	AERIUS	5 MG	5	100 FOL	100
4382	B05XA01	KALISTERIL	150MG/ML	150	20ML	20
4383	B03XA01	EPREX	10000 IU/ML	10000	6 X 1 ML	6
4385	G04BE01	MUSE	1000 MIKROG	1000	1	1
